World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Publications,Influence,Citations,Broad Impact,Patents,Score
56,Purdue University,USA,36,72,41,48,77,94,84,118,30,54.03
58,"University of California, Santa Barbara",USA,37,107,303,36,119,65,43,48,54,53.86
59,University of Florida,USA,38,219,244,98,41,75,75,56,5,53.85
62,Boston University,USA,39,319,57,89,70,46,35,39,92,53.49
65,University of Colorado Boulder,USA,40,61,82,42,99,41,46,68,151,53.21
66,University of Utah,USA,41,102,104,70,98,64,75,87,20,53.06
67,Carnegie Mellon University,USA,42,28,140,25,216,219,101,155,122,53.04
68,"University of Maryland, College Park",USA,43,54,189,50,60,44,35,59,203,52.99
71,Vanderbilt University,USA,44,92,83,111,56,57,63,45,67,52.68
72,University of Rochester,USA,45,63,48,114,118,112,90,87,42,52.47
73,University of Arizona,USA,46,146,50,87,84,42,46,55,161,52.46
75,University of Texas Southwestern Medical Center,USA,47,70,594+,40,140,33,57,40,159,52.32
79,Emory University,USA,48,378+,143,126,71,61,71,37,60,52.09
85,University of Texas MD Anderson Cancer Center,USA,49,378+,594+,82,95,69,49,27,61,51.76
86,Georgia Institute of Technology,USA,50,152,68,117,112,161,78,108,34,51.75
87,Brown University,USA,51,75,39,77,122,73,64,103,203,51.74
88,"University of California, Irvine",USA,52,240,594+,45,89,56,64,51,91,51.7
94,University of Notre Dame,USA,53,230,25,154,250,245,218,233,291,51.42
97,Tufts University,USA,54,71,44,182,170,159,84,95,77,51.14
98,Texas A&M University,USA,55,352,96,47,86,113,64,138,95,50.94
102,Arizona State University,USA,56,378+,287,91,141,96,90,155,27,50.32
106,Michigan State University,USA,57,106,134,235+,94,120,71,117,78,50.2
108,Case Western Reserve University,USA,58,58,255,211,144,102,57,81,97,50.03
114,Rice University,USA,59,53,121,97,271,151,51,155,74,49.84
115,Baylor College of Medicine,USA,60,378+,594+,133,115,40,109,42,161,49.83
121,Georgetown University,USA,61,145,32,235+,305,317,295,215,138,49.69
123,Indiana University - Bloomington,USA,62,109,36,177,181,136,171,204,221,49.66
125,University of Iowa,USA,63,128,294,165,111,91,101,111,72,49.63
130,University of Colorado Denver | Anschutz Medical Campus,USA,64,378+,594+,139,133,97,113,72,81,49.4
142,Southern Methodist University,USA,65,189,27,235+,634,611,436,606,745,49.01
145,Icahn School of Medicine at Mount Sinai,USA,66,378+,594+,235+,157,68,144,72,112,48.92
147,University of Alabama at Birmingham,USA,67,378+,553,235+,145,116,184,87,89,48.88
148,University of Miami,USA,68,378+,218,235+,172,126,101,109,86,48.85
150,"University of California, Santa Cruz",USA,69,184,594+,66,255,52,136,91,303,48.81
154,Stony Brook University,USA,70,193,594+,51,179,88,184,155,99,48.63
155,Wake Forest University,USA,71,280,75,235+,262,228,144,130,116,48.58
161,Oregon Health & Science University,USA,72,378+,594+,131,195,107,101,106,129,48.44
163,Yeshiva University,USA,73,214,594+,235+,207,87,113,109,105,48.4
164,University of South Florida,USA,74,378+,383,235+,238,244,200,177,49,48.39
165,University of Cincinnati,USA,75,147,108,235+,154,166,113,138,210,48.38
174,"University of Maryland, Baltimore",USA,76,378+,594+,235+,177,143,218,119,86,48.19
179,University of Massachusetts Medical School,USA,77,378+,594+,81,303,76,240,133,93,48.1
185,University of Illinois at Chicago,USA,78,378+,564,235+,128,186,160,192,82,47.85
186,Indiana University-Purdue University Indianapolis,USA,79,378+,474,235+,190,176,218,133,107,47.76
188,Louisiana State University,USA,80,294,161,235+,174,172,160,170,141,47.76
190,Wayne State University,USA,81,378+,151,235+,202,250,113,177,123,47.73
196,University of New Mexico,USA,82,378+,594+,235+,229,167,90,170,119,47.59
204,University of Georgia,USA,83,96,170,172,187,129,171,263,94,47.45
205,Iowa State University,USA,84,306,185,109,162,187,136,194,303,47.44
206,University of Kansas,USA,85,241,110,235+,214,163,113,228,146,47.42
207,George Washington University,USA,86,201,59,235+,301,236,324,233,417,47.38
208,University of Massachusetts Amherst,USA,87,140,133,158,206,198,268,187,261,47.37
209,University of Missouri–Columbia,USA,88,264,91,100,226,226,218,263,150,47.36
214,North Carolina State University,USA,89,183,219,235+,166,205,144,253,101,47.26
217,"University of California, Riverside",USA,90,258,594+,235+,222,115,184,166,215,47.23
225,University of Connecticut,USA,91,317,253,235+,178,184,218,201,159,47.1
229,Brandeis University,USA,92,37,319,55,572,204,324,337,271,47.03
232,University of Texas Health Science Center at Houston,USA,93,378+,594+,154,247,153,184,174,253,47.01
233,University of Houston,USA,94,378+,49,235+,307,258,436,347,155,47
235,University of Texas Health Science Center at San Antonio,USA,95,378+,594+,235+,323,216,200,153,237,46.99
239,"University of Tennessee, Knoxville",USA,96,334,120,235+,208,193,240,228,412,46.9
250,Oregon State University,USA,97,154,250,235+,267,152,144,225,281,46.74
256,Florida State University,USA,98,239,307,235+,209,189,160,225,378,46.67
259,Virginia Commonwealth University,USA,99,378+,437,150,269,237,240,212,187,46.6
260,Virginia Polytechnic Institute and State University,USA,100,298,137,235+,211,241,436,290,151,46.57
261,University of Oklahoma,USA,101,378+,163,235+,246,248,240,249,261,46.57
264,Drexel University,USA,102,378+,202,235+,371,339,324,290,83,46.52
268,University of Kentucky,USA,103,345,291,235+,201,233,380,243,273,46.46
272,University at Buffalo,USA,104,245,395,235+,212,280,240,263,167,46.42
277,Thomas Jefferson University,USA,105,166,594+,235+,351,337,184,215,303,46.35
281,Northeastern University,USA,106,330,117,235+,360,281,218,352,96,46.33
282,Colorado State University,USA,107,236,526,194,236,212,295,243,267,46.32
283,Lehigh University,USA,108,250,46,235+,647,527,436,536,440,46.28
284,University of Louisville,USA,109,378+,465,235+,359,396,295,276,102,46.28
288,Tulane University,USA,110,338,152,235+,382,300,268,268,290,46.24
289,Rensselaer Polytechnic Institute,USA,111,103,150,235+,434,357,184,313,185,46.24
290,University of South Carolina,USA,112,378+,321,196,261,364,144,276,326,46.22
292,University of Delaware,USA,113,333,355,136,285,308,218,296,132,46.21
294,City College of New York,USA,114,30,215,235+,696,442,541,617,363,46.18
300,Medical University of South Carolina,USA,115,378+,594+,235+,324,347,240,243,356,46.1
308,Medical College of Wisconsin,USA,116,378+,594+,235+,350,271,324,238,719,46.03
322,University of Nebraska–Lincoln,USA,117,175,217,235+,293,239,240,320,387,45.87
325,University of Vermont,USA,118,209,278,235+,362,275,436,296,257,45.84
326,Rush University,USA,119,378+,594+,235+,436,407,240,268,420,45.84
338,Boston College,USA,120,378+,99,235+,577,367,218,396,363,45.7
342,University of Oregon,USA,121,358,594+,235+,391,234,268,290,516,45.68
348,Saint Louis University,USA,122,378+,259,219,474,296,324,317,347,45.63
350,Colorado School of Mines,USA,123,378+,69,235+,683,603,380,588,644,45.62
351,Washington State University,USA,124,378+,336,133,308,229,295,352,215,45.61
353,Kansas State University,USA,125,142,236,235+,387,335,200,352,312,45.6
363,University of Texas Medical Branch at Galveston,USA,126,378+,594+,235+,413,306,295,328,207,45.54
374,Wesleyan University,USA,127,104,71,235+,992,568,818+,846,856,45.47
375,College of William and Mary,USA,128,378+,87,235+,615,461,324,536,821,45.47
376,San Diego State University,USA,129,262,216,235+,479,313,295,346,437,45.47
380,Temple University,USA,130,287,480,235+,326,315,664,347,210,45.45
387,University of Alabama - Tuscaloosa,USA,131,161,136,235+,519,481,324,441,303,45.4
396,University of Central Florida,USA,132,378+,496,235+,401,409,664,371,170,45.35
397,George Mason University,USA,133,378+,594+,100,456,388,268,381,374,45.35
400,University of New Hampshire,USA,134,378+,313,104,565,284,295,381,576,45.34
404,"University at Albany, SUNY",USA,135,188,550,162,426,389,218,357,558,45.33
410,Miami University,USA,136,378+,85,235+,742,597,541,648,856,45.3
411,University of Arkansas for Medical Sciences,USA,137,378+,594+,235+,517,565,664,342,281,45.29
413,University of Nebraska Medical Center,USA,138,378+,594+,235+,469,387,380,342,378,45.28
415,West Virginia University,USA,139,342,147,235+,453,430,436,452,600,45.25
423,University of Hawaii at Manoa,USA,140,378+,463,86,450,224,380,452,420,45.23
425,University of Texas at Dallas,USA,141,204,198,235+,441,403,541,424,403,45.22
433,Loyola University Chicago,USA,142,378+,372,235+,548,417,380,357,745,45.18
435,Brigham Young University,USA,143,313,364,235+,501,432,295,452,161,45.17
438,University of Mississippi,USA,144,378+,594+,235+,379,411,324,375,471,45.17
445,Oklahoma State University,USA,145,263,184,235+,451,652,436,481,347,45.14
453,University of Denver,USA,146,324,109,235+,881,515,541,588,507,45.1
457,Syracuse University,USA,147,149,209,235+,466,498,664,494,403,45.08
462,Augusta University,USA,148,378+,594+,235+,496,401,436,381,644,45.06
466,University of Dayton,USA,149,360,95,235+,997,907,436,776,461,45.05
468,Ohio University,USA,150,227,178,235+,605,509,818+,617,175,45.04
476,University of Wyoming,USA,151,378+,281,235+,538,311,380,463,321,45.02
482,Illinois Institute of Technology,USA,152,291,105,235+,773,702,664,719,841,45.01
487,Georgia State University,USA,153,378+,369,235+,447,450,436,441,350,44.99
489,Clemson University,USA,154,378+,510,235+,446,518,436,430,326,44.98
490,"University of Nevada, Reno",USA,155,378+,426,235+,551,384,380,420,491,44.98
492,Texas Tech University,USA,156,378+,205,235+,462,554,268,536,592,44.97
493,"University of Maryland, Baltimore County",USA,157,378+,594+,235+,612,397,541,407,417,44.96
494,University of Akron,USA,158,378+,384,235+,676,634,541,661,108,44.96
497,Auburn University,USA,159,185,213,235+,492,582,380,606,250,44.95
498,University of Wisconsin–Milwaukee,USA,160,237,225,235+,518,463,664,507,912+,44.95
523,Creighton University,USA,161,378+,594+,235+,835,724,380,441,411,44.88
528,University of Missouri–Kansas City,USA,162,323,414,235+,634,427,664,452,704,44.86
532,Baylor University,USA,163,378+,290,235+,650,588,324,507,584,44.86
561,University of Arkansas - Fayetteville,USA,164,216,306,235+,587,610,541,547,391,44.79
563,SUNY Downstate Medical Center,USA,165,378+,594+,154,769,457,818+,507,507,44.79
566,New York Medical College,USA,166,378+,594+,235+,793,651,818+,470,659,44.79
568,Kent State University,USA,167,378+,594+,235+,622,448,541,489,461,44.79
570,University of Alaska Fairbanks,USA,168,378+,407,235+,641,378,541,494,763,44.78
572,Montana State University,USA,169,378+,512,235+,584,331,324,512,471,44.77
577,New Mexico State University,USA,170,378+,460,235+,727,643,436,494,912+,44.76
578,University of Montana,USA,171,365,459,235+,722,343,324,512,659,44.75
579,Utah State University,USA,172,171,362,235+,566,408,380,566,440,44.75
586,University of Toledo,USA,173,378+,594+,235+,621,567,664,617,192,44.73
587,University of Rhode Island,USA,174,378+,264,235+,685,375,541,627,350,44.72
592,University of Texas at Arlington,USA,175,378+,594+,235+,506,546,541,547,384,44.71
603,Florida International University,USA,176,378+,587,235+,490,471,436,547,516,44.7
604,Southern Illinois University Carbondale,USA,177,212,551,235+,606,537,664,536,547,44.7
616,Mississippi State University,USA,178,165,227,235+,604,560,541,733,491,44.67
617,Northern Illinois University,USA,179,378+,272,235+,688,675,295,648,704,44.67
620,Uniformed Services University of the Health Sciences,USA,180,378+,594+,235+,630,486,436,547,912+,44.66
633,University of New Orleans,USA,181,378+,594+,235+,989,829,295,566,841,44.63
636,University of Idaho,USA,182,378+,594+,235+,681,480,541,566,600,44.62
643,Old Dominion University,USA,183,378+,594+,235+,732,578,436,588,417,44.61
648,State University of New York Upstate Medical University,USA,184,378+,594+,235+,797,604,380,581,576,44.61
654,Binghamton University,USA,185,378+,242,235+,720,658,818+,706,674,44.6
659,Portland State University,USA,186,378+,247,235+,796,601,818+,706,547,44.6
664,University of Maine,USA,187,378+,594+,139,795,433,436,686,370,44.59
666,Albany Medical College,USA,188,178,594+,235+,913,801,818+,606,735,44.59
667,Louisiana Tech University,USA,189,378+,208,235+,975,891,541,776,690,44.59
684,New Jersey Institute of Technology,USA,190,273,448,235+,812,663,436,807,185,44.56
691,"University of Nevada, Las Vegas",USA,191,378+,434,235+,659,508,818+,636,735,44.55
696,University of Texas at San Antonio,USA,192,378+,594+,235+,679,533,818+,648,412,44.54
699,Rochester Institute of Technology,USA,193,378+,420,235+,926,627,324,661,547,44.54
713,Loma Linda University,USA,194,378+,594+,235+,845,759,818+,661,391,44.52
714,University of Missouri–St. Louis,USA,195,378+,316,235+,908,541,664,706,558,44.52
723,University of Alabama in Huntsville,USA,196,378+,594+,235+,937,449,664,636,763,44.52
743,Missouri University of Science and Technology,USA,197,378+,266,235+,763,963,664,807,523,44.49
744,San Francisco State University,USA,198,284,594+,208,899,579,541,673,912+,44.49
745,North Dakota State University,USA,199,180,594+,235+,717,802,818+,790,273,44.49
746,Florida Institute of Technology,USA,200,378+,594+,235+,963,745,240,719,912+,44.48
748,University of North Texas,USA,201,378+,594+,235+,699,669,541,695,482,44.48
751,East Carolina University,USA,202,378+,388,235+,713,659,818+,719,516,44.47
753,Marquette University,USA,203,274,207,235+,931,798,818+,934,719,44.47
765,University of North Carolina at Charlotte,USA,204,378+,311,235+,757,716,541,790,558,44.46
772,Michigan Technological University,USA,205,354,488,235+,806,774,541,719,491,44.45
792,University of Memphis,USA,206,378+,345,235+,787,761,664,790,516,44.43
794,Howard University,USA,207,195,594+,235+,946,673,664,759,447,44.43
805,Bowling Green State University,USA,208,378+,373,235+,933,699,818+,776,745,44.41
823,Northern Arizona University,USA,209,378+,565,235+,917,468,664,759,674,44.39
825,Wright State University,USA,210,378+,594+,235+,829,782,818+,759,821,44.39
833,University of Massachusetts Boston,USA,211,378+,458,235+,837,701,541,790,821,44.38
862,University of South Alabama,USA,212,378+,594+,235+,980,742,664,820,536,44.35
864,Florida Atlantic University,USA,213,378+,594+,235+,874,734,818+,832,482,44.34
876,Hunter College,USA,214,276,464,235+,832,592,818+,860,802,44.33
880,University of Southern Mississippi,USA,215,378+,594+,235+,938,832,818+,832,719,44.33
887,Clarkson University,USA,216,378+,380,235+,959,978,818+,887,763,44.32
892,University of North Dakota,USA,217,378+,547,235+,916,732,818+,860,536,44.32
901,The Catholic University of America,USA,218,378+,441,235+,978,619,541,887,690,44.31
907,"University of California, Merced",USA,219,378+,594+,235+,878,510,818+,878,576,44.31
915,University of Massachusetts Lowell,USA,220,378+,505,235+,928,953,380,980,295,44.3
928,"Queens College, City University of New York",USA,221,337,374,235+,982,718,818+,934,704,44.29
930,Oakland University,USA,222,378+,594+,235+,898,793,818+,887,883,44.29
946,University of North Carolina at Greensboro,USA,223,378+,594+,235+,897,847,818+,907,659,44.27
967,University of Texas at El Paso,USA,224,378+,466,235+,905,853,818+,945,633,44.26
,,,,,,,,,,,,
Copyright © 2012-2019 Center for World University Rankings,,,,,,,,,,,,
